,nickname,text,score,like,dislike,time,watch_movie
6766,miel****,제 평점기록을 보세요..저는 냉정하게 평가합니다..근데 이영화는 최고라는 말밖에!,10,0,0,2011-02-13 14:06:00,0
6767,chon****,이영화는 정말 강추입니다.. 마음이 따스해져여..,10,0,0,2011-02-13 13:48:00,0
6768,gute****,원작을 알고 봤는데도 정말 가슴이 따뜻해지고 재미있었어요 대박나시길!,9,0,0,2011-02-13 12:53:00,0
6769,joy5****,너무 따순 영화,10,0,0,2011-02-13 12:45:00,0
6770,myte****,원작에 정말 충실했어요. 영화 보는 내내 펑펑 울었습니다 ㅠㅠ,10,0,0,2011-02-13 11:52:00,0
6771,ghdi****,재미있슴둥~~,10,0,0,2011-02-13 10:24:00,0
6772,ssad****,너무 감동적이고 너무 재미 있는 영화였습니다.,10,0,0,2011-02-13 01:24:00,0
6773,erin****,오늘시사회로봤습니다. 정말 보는내내콧등이 시큰거렸어요. 너무정말너무 좋았습니다.,10,0,0,2011-02-13 00:33:00,0
6774,jun9****,오늘 영화를 본 후 '그대를 사랑합니다'를 사랑하게 되었습니다.,10,0,0,2011-02-12 23:27:00,0
6775,ssan****,좋아하는 장르는 아니지만 시사회로 봤는데 생각외로 코믹하고 많은 생각을하게만듦ㅠ,9,0,0,2011-02-12 19:28:00,0
6776,rokk****,처음조금웃다가나중내내울었습니다.부모님지난날모습보는것같아가슴이너무아팠습니다,10,0,0,2011-02-12 19:07:00,0
6777,alch****,오랜만에 정말 좋은 영화를 본거 같아요 재미와 감동 교훈까지 있는 영화네요!! 전 강추 입니다^^,10,0,0,2011-02-12 19:04:00,0
6778,skad****,정말 말도 말고덜도 말고 재밋습니다,10,0,0,2011-02-12 16:13:00,0
6779,dlad****,노인들을 위한 동화. 진솔한 이야기 노련한 아름다움,9,0,0,2011-02-12 14:44:00,0
6780,sjy0****,웃고 울고 저도 모르게 푹 빠져 보던 영화예요~ 정말 모든분들이 꼭 봤으면 좋겠어요!,10,0,0,2011-02-12 13:59:00,0
6781,wind****,시사회로 봤는데 정말재미있네요 점수 더주고 싶은영화 꼭 한번 보세요,10,0,0,2011-02-12 11:00:00,0
6782,jhav****,시사회 봤는데 전체적으로 정말 잘 만들어진 영화~개봉하면 가족들 모두 보여줄거에요,9,0,0,2011-02-12 06:33:00,0
6783,soya****,제돈 주고 봤어도 안 아까웠을 영화!,10,0,0,2011-02-12 01:08:00,0
6784,brow****,정말 기대 이상!! 하나도 기대 안 하고 봤는데 마지막 장면의 여운이 강하다...,10,0,0,2011-02-11 23:46:00,0
6785,myal****,와 이 영화 시사회 봤는데요... 정말로 폭풍눈물 흘리고 왔어요,10,0,0,2011-02-11 23:36:00,0
6786,ekth****,시사회보고왔는데 너무너무재밌어요! 울다가 웃다가 울다가 웃다가,10,0,0,2011-02-11 22:46:00,0
6787,mi92****,보는 내내 웃고 울고! 원작도 감동이지만 영화도 폭풍 감동!,10,0,0,2011-02-11 19:08:00,0
6788,sumi****,"어제 시사회 보고 왔어요, <명품연기, 깨알웃음, 폭풍눈물, 무한감동> 최고,최고！",10,0,0,2011-02-11 16:28:00,0
6789,hihi****,한쪽가슴이 꽉~!! 메여오는듯한 감동^^,10,0,0,2011-02-11 16:04:00,0
6790,ppib****,강풀님 원작중 제일 잘 만들어짐. 너무슬프고 너무 재미있고~,9,0,0,2011-02-11 14:22:00,0
6791,kimm****,정말 기대이상의 영화네요. 중년의 사랑도 아름답단 걸 다시금 느꼈습니다!!강추!,10,0,0,2011-02-11 14:18:00,0
6792,ssik****,"시사로 봤는데, 내용,연기,구성 어느하나 빠짐없이 만족입니다~",10,0,0,2011-02-11 14:07:00,0
6793,hjni****,시사회당첨되서 봤는데요 오랜만에 진짜 영화다운영화를 본것 같아요,10,0,0,2011-02-11 13:28:00,0
6794,rnjs****,강풀원작으로 영화만든것중에 제일나은듯 만석이할아버지 귀요미ㅎ,10,0,0,2011-02-11 13:07:00,0
6795,ean3****,연기에 대해서 무슨 말이 필요할까...원작이 좋은 영화니..스토리도 말할것 없고^^,9,0,0,2011-02-11 11:43:00,0
6796,sm24****,강력히 추천합니다~~ 이렇게 작품성이 뛰어납니다....안 보신 분들 꼭 보세여...ㅠㅠ,10,0,0,2011-02-11 10:33:00,0
6797,heyh****,"배아프게 깔깔대고, 눈이 붓도록 울었습니다",10,0,0,2011-02-11 10:09:00,0
6798,psh9****,정말 감동적입니다..눈물 참고 겨우 봄..강추!! 개봉 하면 부모님 예매해드릴겁니다..,10,0,0,2011-02-11 09:52:00,0
6799,jdh2****,"원로배우들의 연기가 뛰어난, 노인들의 따뜻하고 가슴아픈 로맨스. 원작에 충실 곳곳에 유머까지",9,0,0,2011-02-11 09:36:00,0
6800,maje****,"진짜 최고 태어나서 TV나 영화 토탈해서 첨으로 눈물을 흘려봣네요 ㅠ 재미,감동 최고",10,0,0,2011-02-11 02:22:00,0
6801,zest****,"보기싫다던 남친끌고 시사회갔는데 남친도 만족, 저도 만족! 정말 따뜻한 영화에요^_^",10,0,0,2011-02-11 02:07:00,0
6802,sjje****,원작을 알아도 너무나 재밌고 따뜻해지는 영화다!!,10,0,0,2011-02-11 01:25:00,0
6803,rhdw****,"심장이 따뜻,먹먹,뜨거워지는영화!!!",10,0,0,2011-02-11 01:11:00,0
6804,qudw****,정말 최고라는 말밖에.. 감동의 쓰나미가 몰려왔다.... 개봉하면 또 보러 가야겠다...,10,0,0,2011-02-11 00:43:00,0
